,assistments_skill,sl_skill
0,Absolute Value,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.27691376209259033}]"
1,Addition Mixed Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.22296518087387085}]"
2,Addition Proper Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2075415700674057}]"
3,Addition Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23228958249092102}]"
4,Addition and Subtraction Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23969268798828125}]"
5,Addition and Subtraction Integers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23668542504310608}]"
6,Addition and Subtraction Positive Decimals,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.23197147250175476}]"
7,Algebraic Simplification,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.23089981079101562}]"
8,Algebraic Solving,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2950732707977295}]"
9,"Angles - Obtuse, Acute, and Right","[{'skill': 'Bias', 'cosine_score': 0.20777751505374908}]"
10,Angles on Parallel Lines Cut by a Transversal,"[{'skill': 'Natural and Smoothing Splines', 'cosine_score': 0.2685581147670746}]"
11,Area Circle,"[{'skill': 'Reinforcement Learning Overview', 'cosine_score': 0.16055579483509064}]"
12,Area Irregular Figure,"[{'skill': 'Variance', 'cosine_score': 0.1626526266336441}]"
13,Area Parallelogram,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.19191089272499084}]"
14,Area Rectangle,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.18976706266403198}]"
15,Area Trapezoid,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.15596187114715576}]"
16,Area Triangle,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.16084152460098267}]"
17,Associative Property,"[{'skill': 'Interaction Terms', 'cosine_score': 0.28442734479904175}]"
18,Bar Graph,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2117544710636139}]"
19,Box and Whisker,"[{'skill': 'Reinforcement Learning Overview', 'cosine_score': 0.13493578135967255}]"
20,Calculation with + - * /,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.20457732677459717}]"
21,Calculations with Similar Figures,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.23569945991039276}]"
22,Choose an Equation from Given Information,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.3274315893650055}, {'skill': 'Handling Missing Data', 'cosine_score': 0.21590906381607056}]"
23,Circle Concept,"[{'skill': 'Feedback Loops and Societal Biases', 'cosine_score': 0.22338387370109558}]"
24,Circle Graph,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.1960701048374176}]"
25,Circumference,"[{'skill': 'Variance', 'cosine_score': 0.1948840618133545}]"
26,Circumference ,"[{'skill': 'Variance', 'cosine_score': 0.1948840618133545}]"
27,Co-ordinate Points,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.27504685521125793}]"
28,Combinatorics,"[{'skill': 'K-Fold Cross Validation', 'cosine_score': 0.23922312259674072}]"
29,Combining Like Terms,"[{'skill': 'Interaction Terms', 'cosine_score': 0.40436816215515137}]"
30,Common Factor,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.2924819588661194}]"
31,Common Multiple,"[{'skill': 'Multiple Linear Regression', 'cosine_score': 0.2684236764907837}]"
32,Commutative Property,"[{'skill': 'Why Data is Important', 'cosine_score': 0.1557653248310089}]"
33,Comparing and Identifying Slope/Rate of Change,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2814367711544037}, {'skill': 'Comparison: Linear Regression vs KNN', 'cosine_score': 0.2583456039428711}]"
34,Complementary and Supplementary Angles,"[{'skill': 'Collinearity and VIF', 'cosine_score': 0.2767561078071594}]"
35,Composition of Function Adding,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.22415894269943237}]"
36,Computation with Real Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.3618321418762207}]"
37,Concept Volume,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.28953009843826294}]"
38,Congruence,"[{'skill': 'Variance', 'cosine_score': 0.22073815762996674}]"
39,Conversion of Fraction Decimals Percents,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.13356488943099976}]"
40,Counting Methods,"[{'skill': 'Bootstrap Methods', 'cosine_score': 0.32038211822509766}]"
41,D.4.8-understanding-concept-of-probabilities,"[{'skill': 'Bayesian Inference Basics', 'cosine_score': 0.46563541889190674}]"
42,Definition Pi,"[{'skill': 'Interaction Terms', 'cosine_score': 0.15509682893753052}]"
43,Distance Formula,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.2322014719247818}]"
44,Distributive Property,"[{'skill': 'Variance', 'cosine_score': 0.2075444459915161}]"
45,Divisibility Rules,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.20091213285923004}]"
46,Division Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.25626546144485474}]"
47,Division Mixed Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.25363996624946594}]"
48,Division Proper Fractions,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2365214079618454}]"
49,Division Whole Numbers,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.27399441599845886}]"
50,Effect of Changing Dimensions of a Shape Prportionally,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.38888928294181824}]"
51,Elapsed Time,"[{'skill': 'EM Algorithm Overview', 'cosine_score': 0.20704427361488342}]"
52,English and Metric Terminology,"[{'skill': 'Curse of Dimensionality', 'cosine_score': 0.26279574632644653}]"
53,Equal As Balance Concept,"[{'skill': 'Fairness in ML', 'cosine_score': 0.3809238374233246}]"
54,Equation Solving More Than Two Steps,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.24573686718940735}]"
55,Equation Solving Two or Fewer Steps,"[{'skill': 'Simple Linear Regression', 'cosine_score': 0.23721399903297424}]"
56,Equivalent Fractions,"[{'skill': 'Fairness in ML', 'cosine_score': 0.21626466512680054}]"
57,Estimation,"[{'skill': 'Least Squares Estimation', 'cosine_score': 0.6153115630149841}, {'skill': 'Noise and Irreducible Error', 'cosine_score': 0.22204720973968506}, {'skill': 'Local Likelihood Estimation', 'cosine_score': 0.514072060585022}, {'skill': 'Bayesian Model Averaging', 'cosine_score': 0.4013647139072418}, {'skill': 'Heteroscedasticity and Residual Analysis', 'cosine_score': 0.24372518062591553}, {'skill': 'Bias-Variance Decomposition', 'cosine_score': 0.325945645570755}, {'skill': 'Maximum Likelihood Estimation', 'cosine_score': 0.6056185960769653}]"
58,"Expanded, Standard and Word Notation","[{'skill': 'Basis Expansions', 'cosine_score': 0.35690587759017944}]"
59,Exponents,"[{'skill': 'Basis Expansions', 'cosine_score': 0.20609337091445923}]"
60,Factoring Polynomials Standard,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.40882736444473267}]"
61,Factoring Trinomials,"[{'skill': 'Piecewise Polynomials', 'cosine_score': 0.2656421661376953}]"
