question_number,skill_name,question_text,option_1,option_2,option_3,option_4,correct_option
1,Why Data is Important,"Why is data often referred to as the ""fuel"" of machine learning models?",It suggests that model performance depends on data quality and quantity.,It means data can be replaced like engine oil after each run.,It implies models cannot function without a computer.,It indicates data is only needed during training.,1
2,Why Data is Important,"Which phrase best captures the idea of ""garbage in, garbage out"" in machine learning?",Bad or irrelevant input data leads to bad model predictions.,Machine learning algorithms automatically clean the data.,No data is needed for a model to make accurate predictions.,Data garbage can be turned into valuable output.,1
3,Why Data is Important,"If a house price prediction model is trained on data with missing important features (like house size), what is likely to happen?",The model's accuracy will likely decrease due to incomplete information.,The model will become more accurate by ignoring the missing features.,The model's performance will remain unaffected.,The model will automatically fill in missing values without impact.,1
4,Why Data is Important,Which of the following is NOT typically considered a characteristic of high-quality data for machine learning?,Accuracy,Consistency,Encryption,Timeliness,3
5,Why Data is Important,What is the general effect of increasing the amount of good training data on a machine learning model?,It tends to improve the model's performance.,It always causes the model to overfit.,It decreases the model's accuracy by adding noise.,It has no effect once a certain data size is reached.,1
6,Statistical Learning vs Machine Learning,"What is a primary focus of statistical learning, compared to machine learning?",Understanding and modeling relationships between variables.,Maximizing predictive accuracy without regard to interpretability.,Using only neural networks for data analysis.,Applying only unsupervised techniques.,1
7,Statistical Learning vs Machine Learning,Which best describes the focus of machine learning compared to statistical learning?,Discovering patterns in large datasets and making predictions.,Formulating detailed hypotheses without using data.,Building models exclusively for inference and explanation.,Ignoring large data in favor of theoretical analysis.,1
8,Statistical Learning vs Machine Learning,Statistical learning often begins with a hypothesis about the data structure. Which example illustrates this approach?,Assuming shoe size is related to height and modeling that relationship.,Randomly guessing outputs for a neural network.,Clustering data points into groups without labels.,Training a neural network with no initial assumptions.,1
9,Statistical Learning vs Machine Learning,Which statement best contrasts the objectives of machine learning and statistical inference (statistical learning)?,"Machine learning often uses complex models to maximize accuracy, while inference uses simpler models to understand relationships.","Machine learning does not use any data for learning, whereas statistical inference uses only data.",There is no difference; both use exactly the same techniques.,"Statistical inference ignores relationships in data, while machine learning models everything.",1
10,Statistical Learning vs Machine Learning,Which scenario is more characteristic of statistical learning rather than machine learning?,Analyzing how specific input variables influence an outcome through interpretable models.,Training a large neural network on images to maximize classification accuracy.,Clustering millions of unlabeled data points into groups.,Automating hyperparameter tuning for a deep model.,1
11,Predictor and Response Variables,What are predictor variables (also called features) in a supervised learning context?,Input variables (independent variables) that are used to predict the response.,Output variables that we try to predict.,Error terms or residuals.,Model parameters.,1
12,Predictor and Response Variables,What is another name for the response variable in regression?,Dependent variable (target),Predictor variable,Noise term,Covariate,1
13,Predictor and Response Variables,"In the equation Y = f(X) + ε, what does X represent?",The set of predictor variables (features).,The random error term.,The predicted output.,The residuals.,1
14,Predictor and Response Variables,"In a housing price dataset where X contains features (like square footage and number of bedrooms) and Y is the price, what roles do X and Y play?","X are predictors (features), Y is the response (target).","X are responses, Y are predictors.",X and Y are both predictors.,Neither X nor Y is a predictor or response.,1
15,Predictor and Response Variables,"For predicting student exam scores, which of the following would NOT be a predictor variable?",Exam score,Hours studied,Class attendance,IQ test score,1
16,Noise and Irreducible Error,What does irreducible error (often called noise) refer to in a model Y = f(X) + ε?,Random variability in Y that cannot be explained by the predictors X.,The error due to using a wrong model.,Error that can be eliminated by choosing a better algorithm.,Variance in model parameters due to limited data.,1
17,Noise and Irreducible Error,Which statement about irreducible error is true?,It cannot be reduced by any model or additional data; it is inherent in the problem.,It can be eliminated by adding more features.,It is the same as model bias.,It only occurs in classification problems.,1
18,Noise and Irreducible Error,"In the equation Y = f(X) + ε, what role does ε (epsilon) play?",It represents the irreducible error (random noise) in the response.,It is the predicted value of Y.,It is the training set error.,It is the model’s prediction function.,1
19,Noise and Irreducible Error,What happens to the irreducible error if we increase model complexity or add more data?,It remains unchanged.,It decreases to zero.,It always increases.,It becomes negative.,1
20,Noise and Irreducible Error,Which of the following is NOT a typical source of irreducible error?,Natural randomness in the data,Measurement errors in variables,Missing relevant features,Choosing the wrong algorithm,4
21,Reducible vs Irreducible Error,Which type of error in a prediction problem can be reduced by improving the model or getting more data?,Reducible error,Irreducible error,Noise error,None of the above,1
22,Reducible vs Irreducible Error,Which error remains even if the model perfectly matches the true function f?,Irreducible error,Reducible error,Training error,Validation error,1
23,Reducible vs Irreducible Error,What does reducible error consist of?,The error from approximating the true function f with f_hat,The inherent noise in the data,The total error,None of the above,1
24,Reducible vs Irreducible Error,Which statement correctly contrasts reducible and irreducible error?,Reducible error is due to model imperfection; irreducible error is due to inherent noise.,Irreducible error can be reduced by better algorithms.,Reducible error includes noise variance.,Reducible error cannot be reduced.,1
25,Reducible vs Irreducible Error,"As we collect more data and improve the model, which error component is most likely to decrease?",Reducible error,Irreducible error,Intrinsic noise,Measurement error,1
26,Accuracy vs Interpretability,What trade-off is typically observed between model accuracy and interpretability?,More complex models often have higher accuracy but lower interpretability.,More complex models always have higher interpretability.,Interpretability has no effect on accuracy.,Simpler models are always more accurate.,1
